Date,Ticker,Open,High,Low,Close,Volume
2023-10-02,AAPL,169.97421860938772,173.03181060107437,169.6863201427267,172.48580932617188,52164500
2023-10-03,AAPL,171.0066338674304,172.36667607241205,169.5771240058018,171.14561462402344,49594600
2023-10-04,AAPL,169.84513086786842,172.94243978106925,169.7260088454331,172.3964385986328,53020300
2023-10-05,AAPL,172.52551359241795,174.17343922355133,171.42358924241523,173.6373748779297,48527900
2023-10-06,AAPL,172.53543905358532,176.69495515352654,171.91993985589522,176.19859313964844,57224100
2023-10-09,AAPL,175.52352172738225,177.74722886090305,174.52087597650268,177.6876678466797,42390800
2023-10-10,AAPL,176.80414247485348,178.41235043494368,176.65522479291874,177.09202575683594,43698000
2023-10-11,AAPL,176.90341107776567,178.54141474149296,176.30778577549145,178.4917755126953,47551100
2023-10-12,AAPL,178.759844529376,181.01331743803624,177.73732472140046,179.3951873779297,56743100
2023-10-13,AAPL,180.09999903884182,180.60628286156256,176.84386529966793,177.5487060546875,51427100
2023-10-16,AAPL,175.46397958471027,177.7770284883398,175.22572035442593,177.41964721679688,52517000
2023-10-17,AAPL,175.3646914585386,177.12181720914745,173.52816111664285,175.86105346679688,57549400
2023-10-18,AAPL,174.30248985254676,176.28793794498117,173.83590833900334,174.5605926513672,54764400
2023-10-19,AAPL,174.75913147519677,176.5460377577175,173.9153251388443,174.18336486816406,59302900
2023-10-20,AAPL,174.03445888939677,174.14365914589465,171.38388737014972,171.6221466064453,64189300
2023-10-23,AAPL,169.66646713238327,172.7439025281915,168.69358667928853,171.7412567138672,55980100
2023-10-24,AAPL,171.7909082758531,172.4063923696406,170.20254365913797,172.17807006835938,43816600
2023-10-25,AAPL,170.62941081043056,171.80081789275204,169.40834934938033,169.85508728027344,57157000
2023-10-26,AAPL,169.13038017633548,170.13304109397222,164.46458048468762,165.6757049560547,70625300
2023-10-27,AAPL,165.69558183671225,167.73066925493364,165.6161620916175,166.9960479736328,58499100
2023-10-30,AAPL,167.7902309189435,169.92458166587582,167.64131321590813,169.0509796142578,51131000
2023-10-31,AAPL,168.11782995408234,169.6565401685357,166.67836791176023,169.52749633789062,44846000
2023-11-01,AAPL,169.75581666227828,172.9623111800798,168.88221462983017,172.70420837402344,56934900
2023-11-02,AAPL,174.24291274157727,176.48646342563364,174.18335172794758,176.2779998779297,77334800
2023-11-03,AAPL,172.97224682902157,175.53347673875106,172.08872301559984,175.3647003173828,79763700
2023-11-06,AAPL,175.09667927913767,178.1244756256995,174.92791800211177,177.92593383789062,63841300
2023-11-07,AAPL,177.87629469765844,181.1125849169399,177.66783112206795,180.49710083007812,70530000
2023-11-08,AAPL,181.02323134779837,182.1152186825965,180.26875139702054,181.55929565429688,49340300
2023-11-09,AAPL,181.62881074103257,182.78035920210118,180.4871689201494,181.0828094482422,53763500
2023-11-10,AAPL,182.87206148972973,185.4565506612299,182.43468499907056,185.2875518798828,66133400
2023-11-13,AAPL,184.71101456121173,184.9197527658604,183.1106225987718,183.6970977783203,43627500
2023-11-14,AAPL,186.579792942837,186.987349680322,185.18815428767326,186.32135009765625,60108400
2023-11-15,AAPL,186.72889062449767,188.3690371233907,186.65930111391893,186.88792419433594,53790500
2023-11-16,AAPL,188.43865594913416,189.82035984023278,187.52413314974999,188.57781982421875,54412900
2023-11-17,AAPL,189.11456252266416,189.24379151892643,187.44459626814825,188.5579071044922,50922700
2023-11-20,AAPL,188.75673136709773,190.7646802061248,188.74679650771577,190.3074188232422,46505100
2023-11-21,AAPL,190.26765186097265,190.37699597796984,188.60762038854105,189.5022430419922,38134500
2023-11-22,AAPL,190.3471923134316,191.77858564632436,189.69112755602794,190.1682586669922,39617700
2023-11-24,AAPL,189.73084999433786,189.76066973573458,188.12052328802685,188.8362274169922,24048300
2023-11-27,AAPL,188.78653185384877,189.53205575999598,187.77261509452617,188.6573028564453,40552600
2023-11-28,AAPL,188.64736172795114,189.93960615586684,188.2696247743869,189.26365661621094,38415400
2023-11-29,AAPL,189.76069003248776,190.9435904601538,187.84221568139642,188.2398223876953,43014200
2023-11-30,AAPL,188.70703160550096,189.1841778871875,187.06688486941184,188.81637573242188,48794400
2023-12-01,AAPL,189.19410585978827,190.41676093068807,188.1006646303825,190.0986785888672,45679300
2023-12-04,AAPL,188.84617430866663,188.91576382150808,186.33127483914026,188.29945373535156,43389500
2023-12-05,AAPL,189.07480648679842,193.23978723319652,189.04497157673757,192.26564025878906,66628400
2023-12-06,AAPL,193.28950362567244,193.5976510937421,190.9634725753497,191.17222595214844,41089700
2023-12-07,AAPL,192.4744006383907,193.8362194805571,192.43463086867496,193.11058044433594,47477700
2023-12-08,AAPL,193.04100943397142,194.82033519008485,192.5141736926634,194.54200744628906,53377300
